School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Kearney,4.19,7.55,11.74,1,1,1
Father Tolton,2.77,6.35,9.12,7,2,2
Belton,3.4,4.54,7.94,2,7,3
Westminster Christian Academy,2.82,5.05,7.87,6,4,4
St. Dominic,2.51,4.85,7.36,11,6,5
Platte County,2.21,4.86,7.06,13,5,6
Marshfield,2.56,3.81,6.37,9,9,7
Cor Jesu Academy,3.14,2.92,6.06,3,14,8
Rockwood Summit,3.06,2.82,5.88,4,15,9
Willard,2.29,3.54,5.83,12,10,10
Notre Dame (Cape Girardeau),1.54,4.14,5.68,21,8,11
Festus,2.15,3.4,5.55,14,12,12
Jefferson City,0.17,5.14,5.3,31,3,13
Washington,2.86,2.43,5.29,5,18,14
Hillsboro,1.77,3.47,5.24,16,11,15
Parkway Central,1.77,2.79,4.57,17,16,16
Windsor (Imperial),1.64,2.93,4.57,19,13,17
Smithville,2.55,2.02,4.57,10,19,18
Webb City,1.06,2.66,3.72,24,17,19
Union,1.09,1.35,2.44,23,21,20
DeSoto,0.45,1.86,2.31,28,20,21
Incarnate Word Academy,1.82,0.5,2.31,15,26,22
Bolivar,1.68,0.6,2.28,18,24,23
McDonald County,1.55,0.71,2.26,20,23,24
Capital City,2.57,-0.44,2.14,8,29,25
Carl Junction,1.44,0.11,1.55,22,27,26
Ft. Zumwalt East,0.88,0.09,0.97,25,28,27
Poplar Bluff,-0.22,1.14,0.92,33,22,28
Ft. Zumwalt South,0.79,-0.5,0.28,26,31,29
Webster Groves,-0.83,0.59,-0.24,37,25,30
St. Charles,-0.63,-0.6,-1.23,35,32,31
Holt,0.16,-1.75,-1.6,32,33,32
Camdenton,0.25,-1.86,-1.61,30,34,33
Winnetonka,-2.19,-0.47,-2.66,41,30,34
Pacific,0.25,-2.96,-2.71,29,37,35
Marshall,0.51,-3.88,-3.37,27,40,36
Hannibal,-2.17,-2.3,-4.47,40,35,37
West Plains,-2.01,-2.56,-4.57,39,36,38
Warrenton,-1.06,-3.64,-4.7,38,38,39
Lebanon,-0.8,-3.99,-4.8,36,41,40
Warrensburg,-0.26,-4.77,-5.04,34,43,41
Hillcrest,-2.75,-3.76,-6.51,44,39,42
William Chrisman,-3.12,-4.67,-7.79,45,42,43
St. Teresa's Academy,-2.36,-5.69,-8.06,43,45,44
Parkway North,-2.28,-6.89,-9.17,42,48,45
Central (Cape Girardeau),-3.73,-6.09,-9.82,46,46,46
Ursuline Academy,-4.62,-5.26,-9.88,49,44,47
Raytown,-4.05,-7.0,-11.05,47,49,48
Mehlville,-4.52,-6.78,-11.3,48,47,49
Sikeston,-5.24,-10.76,-16.0,50,50,50
University City,-6.28,-12.74,-19.02,51,52,51
Lincoln College Prep,-8.24,-10.97,-19.21,52,51,52
Grandview,-8.88,-13.13,-22.01,55,53,53
Parkview,-8.31,-13.77,-22.09,53,54,54
Ruskin,-10.05,-15.2,-25.25,57,55,55
Clayton,-8.76,-17.82,-26.58,54,57,56
Raytown South,-9.78,-17.5,-27.29,56,56,57
